Trafikkregistreringspunkt;Navn;Vegreferanse;Fra;Til;År;Måned;Trafikkmengde;Konfidensintervall start;Konfidensintervall slutt;Dekningsgrad (%);Antall døgn total;Antall døgn inkludert;Antall døgn ugyldig;Ikke gyldig lengde;Lengdekvalitetsgrad (%);Felt;< 5,6m;>= 5,6m;5,6m - 7,6m;7,6m - 12,5m;12,5m - 16,0m;>= 16,0m;16,0m - 24,0m;>= 24,0m
01011B1109432;UIT/Planetariet Sykkel;KV12650 S2D1 m22;2023-01-01T00:00+01:00;2023-02-01T00:00+01:00;2023;1;24;18;30;100,0;31;31;0;24;0,0;Totalt;-;-;-;-;-;-;-;-
01011B1109432;UIT/Planetariet Sykkel;KV12650 S2D1 m22;2023-02-01T00:00+01:00;2023-03-01T00:00+01:00;2023;2;6;4;8;100,0;28;28;0;6;0,0;1;-;-;-;-;-;-;-;-
01011B1109432;UIT/Planetariet Sykkel;KV12650 S2D1 m22;2023-02-01T00:00+01:00;2023-03-01T00:00+01:00;2023;2;9;7;11;100,0;28;28;0;9;0,0;2;-;-;-;-;-;-;-;-
01011B1109432;UIT/Planetariet Sykkel;KV12650 S2D1 m22;2023-02-01T00:00+01:00;2023-03-01T00:00+01:00;2023;2;9;7;11;100,0;28;28;0;9;0,0;Totalt i retning Planetariet/UIT;-;-;-;-;-;-;-;-
01011B1109432;UIT/Planetariet Sykkel;KV12650 S2D1 m22;2023-02-01T00:00+01:00;2023-03-01T00:00+01:00;2023;2;6;4;8;100,0;28;28;0;6;0,0;Totalt i retning UNN;-;-;-;-;-;-;-;-
01011B1109432;UIT/Planetariet Sykkel;KV12650 S2D1 m22;2023-02-01T00:00+01:00;2023-03-01T00:00+01:00;2023;2;15;11;19;100,0;28;28;0;15;0,0;Totalt;-;-;-;-;-;-;-;-
01011B1109432;UIT/Planetariet Sykkel;KV12650 S2D1 m22;2023-03-01T00:00+01:00;2023-04-01T00:00+02:00;2023;3;5;3;7;100,0;31;31;0;5;0,0;1;-;-;-;-;-;-;-;-
01011B1109432;UIT/Planetariet Sykkel;KV12650 S2D1 m22;2023-03-01T00:00+01:00;2023-04-01T00:00+02:00;2023;3;6;4;8;100,0;31;31;0;6;0,0;2;-;-;-;-;-;-;-;-
01011B1109432;UIT/Planetariet Sykkel;KV12650 S2D1 m22;2023-03-01T00:00+01:00;2023-04-01T00:00+02:00;2023;3;6;4;8;100,0;31;31;0;6;0,0;Totalt i retning Planetariet/UIT;-;-;-;-;-;-;-;-
01011B1109432;UIT/Planetariet Sykkel;KV12650 S2D1 m22;2023-03-01T00:00+01:00;2023-04-01T00:00+02:00;2023;3;5;3;7;100,0;31;31;0;5;0,0;Totalt i retning UNN;-;-;-;-;-;-;-;-
01011B1109432;UIT/Planetariet Sykkel;KV12650 S2D1 m22;2023-03-01T00:00+01:00;2023-04-01T00:00+02:00;2023;3;11;8;14;100,0;31;31;0;11;0,0;Totalt;-;-;-;-;-;-;-;-
01011B1109432;UIT/Planetariet Sykkel;KV12650 S2D1 m22;2023-04-01T00:00+02:00;2023-05-01T00:00+02:00;2023;4;8;5;11;100,0;30;30;0;8;0,0;1;-;-;-;-;-;-;-;-
01011B1109432;UIT/Planetariet Sykkel;KV12650 S2D1 m22;2023-04-01T00:00+02:00;2023-05-01T00:00+02:00;2023;4;13;9;17;100,0;30;30;0;13;0,0;2;-;-;-;-;-;-;-;-
01011B1109432;UIT/Planetariet Sykkel;KV12650 S2D1 m22;2023-04-01T00:00+02:00;2023-05-01T00:00+02:00;2023;4;13;9;17;100,0;30;30;0;13;0,0;Totalt i retning Planetariet/UIT;-;-;-;-;-;-;-;-
01011B1109432;UIT/Planetariet Sykkel;KV12650 S2D1 m22;2023-04-01T00:00+02:00;2023-05-01T00:00+02:00;2023;4;8;5;11;100,0;30;30;0;8;0,0;Totalt i retning UNN;-;-;-;-;-;-;-;-
01011B1109432;UIT/Planetariet Sykkel;KV12650 S2D1 m22;2023-04-01T00:00+02:00;2023-05-01T00:00+02:00;2023;4;21;15;27;100,0;30;30;0;21;0,0;Totalt;-;-;-;-;-;-;-;-
34219B1109528;Prestvannet Sykkel;KV21200 S1D1 m644;2022-01-01T00:00+01:00;2022-02-01T00:00+01:00;2022;1;38;30;46;100,0;31;31;0;38;0,0;1;-;-;-;-;-;-;-;-
34219B1109528;Prestvannet Sykkel;KV21200 S1D1 m644;2022-01-01T00:00+01:00;2022-02-01T00:00+01:00;2022;1;70;59;81;100,0;31;31;0;70;0,0;2;-;-;-;-;-;-;-;-
34219B1109528;Prestvannet Sykkel;KV21200 S1D1 m644;2022-01-01T00:00+01:00;2022-02-01T00:00+01:00;2022;1;70;59;81;100,0;31;31;0;70;0,0;Totalt i retning Vervarslinga i Nord-Norge;-;-;-;-;-;-;-;-
34219B1109528;Prestvannet Sykkel;KV21200 S1D1 m644;2022-01-01T00:00+01:00;2022-02-01T00:00+01:00;2022;1;38;30;46;100,0;31;31;0;38;0,0;Totalt i retning Rundkjøring-Fv862-Langnesbakken;-;-;-;-;-;-;-;-
34219B1109528;Prestvannet Sykkel;KV21200 S1D1 m644;2022-01-01T00:00+01:00;2022-02-01T00:00+01:00;2022;1;107;89;125;100,0;31;31;0;107;0,0;Totalt;-;-;-;-;-;-;-;-
34219B1109528;Prestvannet Sykkel;KV21200 S1D1 m644;2022-02-01T00:00+01:00;2022-03-01T00:00+01:00;2022;2;57;46;68;100,0;28;28;0;57;0,0;1;-;-;-;-;-;-;-;-
34219B1109528;Prestvannet Sykkel;KV21200 S1D1 m644;2022-02-01T00:00+01:00;2022-03-01T00:00+01:00;2022;2;89;74;104;100,0;28;28;0;89;0,0;2;-;-;-;-;-;-;-;-
